Session;Identifiant de l'établissement;Nom de l'établissement;Types d'établissement;Types de formation;Nom long de la formation;Mentions/Spécialités;Domaine;Formations en apprentissage;Internat;Aménagement;Informations complémentaires;Région;Département;Commune;Lien vers la fiche formation;Lien vers les données statistiques pour l'année antérieure;Site internet de l'établissement;Localisation;Nom court de la formation;Code interne Parcoursup de la formation;Code interne Parcoursup pour les portails;etablissement_id_paysage;composante_id_paysage;rnd;code_formation
2025;0251999M;Biomedal (Besançon - 25);Privés;Formations aux métiers du sport;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme - Bi-option : Haltérophilie - Musculation et Cours collectifs;BPJEPS - Spécialité Educateur sportif - Mention Activités de la forme;Sport;;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Bourgogne-Franche-Comté;Doubs;Besançon;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41359&typeBac=0&originePc=0;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=41359;https://biomedal-formation.fr/;47.25, 6.03333;BPJEPS-AF;41359;41357;;;21543;640022
2025;0692360R;Business School - Site Limas (69);Privés;BTS - BTSA - BTSM;BTS - Production - Maintenance des systèmes - option A Systèmes de production - en apprentissage;BTS - Maintenance des systèmes - option A Systèmes de production;Technique et Industrie;Formations en apprentissage;;Enseignement en présentiel;;Auvergne-Rhône-Alpes;Rhône;Limas;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41361&typeBac=0&originePc=0;;https://www.bs-beaujolais.fr/;45.97821, 4.71704;BTS-MS-Opt.A-App;41361;41361;;;13163;1385
2025;0750655E;Université PSL / Lycée Louis Le Grand (Paris  5e  Arrondissement - 75);Publics;Licence sélective;Cycle pluridisciplinaire d'Études Supérieures - Sciences des données, arts et cultures;Cycle pluridisciplinaire d'Études Supérieures - Sciences des données, arts et cultures;Informatique et Numérique, Art et Culture;;;Enseignement en présentiel;;Île-de-France;Paris;Paris;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41381&typeBac=0&originePc=0;https://data.enseignementsup-recherche.gouv.fr/pages/parcoursup/?disjunctive.fili&sort=tri&refine.gta=41381;https://www.louislegrand.fr;48.8478, 2.34486;CPES-SDAC;41381;41381;zXTdv;;21231;680018
2025;0180572Z;Lycée professionnel Saint Joseph (Vierzon - 18);Privés en contrat avec l’Etat / EESC;BTS - BTSA - BTSM;BTS - Services - Métiers de l'esthétique-cosmétique-parfumerie - en apprentissage;BTS - Métiers de l'esthétique-cosmétique-parfumerie;Santé et Esthétique;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Cher;Vierzon;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41396&typeBac=0&originePc=0;;http://www.ndsj-vierzon.fr;47.2247, 2.06713;BTS-MECP-App;41396;41396;;;17795;1358
2025;0411088K;CCI CAMPUS CENTRE BLOIS - CCI INDRE (41);Privés;Formations professionnelles;Formation professionnelle - Gestionnaire d'unité commerciale (option généraliste / option spécialisée) (Bac +2) - en apprentissage;FP - Gestionnaire d'unité commerciale (option généraliste / option spécialisée) (bac +2);Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Centre-Val de Loire;Loir-et-Cher;Blois;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41397&typeBac=0&originePc=0;;https://www.campus-centre.fr/;47.5852, 1.33368;FP-GUC-App;41397;41397;;;27924;1673
2025;0061643D;IDRAC Business School - Campus de Nice (06);Privés;BTS - BTSA - BTSM;BTS - Services - Professions immobilières - en apprentissage;BTS - Professions immobilières;Immobilier;Formations en apprentissage;;Enseignement en présentiel;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41400&typeBac=0&originePc=0;;https://www.ecoles-idrac.com/campus/nice/;43.7052, 7.26425;BTS-PI-App;41400;41400;;;28637;1442
2025;0421976V;Lycée Francois Mauriac-Forez (Andrézieux-Bouthéon - 42);Publics;BTS - BTSA - BTSM;BTS - Production - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux - en apprentissage;BTS - Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux;Informatique et Numérique;Formations en apprentissage;;Enseignement en présentiel;;Auvergne-Rhône-Alpes;Loire;Andrézieux-Bouthéon;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41401&typeBac=0&originePc=0;;https://mauriac-desgranges.ent.auvergnerhonealpes.fr/;45.5303, 4.27181;BTS-CIEL-EC-App;41401;41401;;;9642;11437
2025;0922972F;Organisme de formation-Centre de formation d'apprentis PSTM (Courbevoie - 92);Privés;BTS - BTSA - BTSM;BTS - Services - Support à l'action managériale - en apprentissage;BTS - Support à l'action managériale;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Île-de-France;Hauts-de-Seine;Courbevoie;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41417&typeBac=0&originePc=0;;https://pstm.fr/;48.891, 2.24583;BTS-SAM-App;41417;41417;;;10775;11420
2025;0062140U;Ecole supérieure privé ESID NICE (06);Privés;BTS - BTSA - BTSM;BTS - Services - Management Commercial Opérationnel - en apprentissage;BTS - Management Commercial Opérationnel;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Provence-Alpes-Côte d'Azur;Alpes-Maritimes;Nice;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41424&typeBac=0&originePc=0;;http://www.esid.education;43.6964, 7.23321;BTS-MCO-App;41424;41424;;;21340;11423
2025;0831662F;Ecole Supérieure Privé ESID (Fréjus - 83);Privés;BTS - BTSA - BTSM;BTS - Services - Négociation et digitalisation de la Relation Client - en apprentissage;BTS - Négociation et digitalisation de la Relation Client;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Provence-Alpes-Côte d'Azur;Var;Fréjus;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41427&typeBac=0&originePc=0;;https://www.esid.education;43.46496, 6.73171;BTS-NDRC-App;41427;41427;;;25665;11418
2025;0311716X;CFA INDUSTRIE MIDI-PYRENEES (Beauzelle - 31);Privés en contrat avec l’Etat / EESC;Certificats de spécialisation et FCIL;Certificat de Spécialisation - Technicien(ne) en soudage - en apprentissage;CS - Technicien(ne) en soudage;Technique et Industrie;Formations en apprentissage;;Enseignement en présentiel;;Occitanie;Haute-Garonne;Beauzelle;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41440&typeBac=0&originePc=0;;http://www.formation-industries-mp.fr/;43.6602, 1.37346;CS-TS-App;41440;41440;;;12772;491031
2025;0952299H;Organisme de formation-Centre de formation d'apprentis - Groupe Alternance Cergy - Osny (95);Privés;BTS - BTSA - BTSM;BTS - Services - Management Commercial Opérationnel - en apprentissage;BTS - Management Commercial Opérationnel;Commerce et Management;Formations en apprentissage;;Enseignement en présentiel;;Île-de-France;Val-d'Oise;Osny;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41444&typeBac=0&originePc=0;;https://www.groupe-alternance.com/ecoles/cergy-pontoise/;49.06667, 2.06667;BTS-MCO-App;41444;41444;;;25351;11423
2025;0332984P;CESI - Alternance - Campus de Bordeaux (33);Privés;Formations professionnelles;Formation professionnelle - Responsable de chantier - bâtiment et travaux publics (Bac +2) - en apprentissage;FP - Responsable de chantier - bâtiment et travaux publics (Bac +2);BTP;Formations en apprentissage;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Nouvelle-Aquitaine;Gironde;Bordeaux;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41456&typeBac=0&originePc=0;;https://www.cesi.fr/;44.8651, -0.577;FP-RCBFP-App;41456;41456;xMWFa;EU4i3;15239;691034
2025;0762969P;CESI - Alternance - Campus de Rouen (St Etienne du Rouvray) (Saint-Etienne-du-Rouvray - 76);Privés;Formations professionnelles;Formation professionnelle - Responsable de chantier - bâtiment et travaux publics (Bac +2) - en apprentissage;FP - Responsable de chantier - bâtiment et travaux publics (Bac +2);BTP;Formations en apprentissage;;Enseignement en présentiel;Des épreuves de sélection sont mises en place pour candidater à cette formation;Normandie;Seine-Maritime;Saint-Étienne-du-Rouvray;https://dossierappel.parcoursup.fr/Candidats/public/fiches/afficherFicheFormation?g_ta_cod=41457&typeBac=0&originePc=0;;https://www.cesi.fr/;49.3819, 1.07422;FP-RCBFP-App;41457;41457;xMWFa;;23303;691034
